energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,5.066042375735506831e-29,3.049341704511717002e-24,1.587684593030013948e-28,3.491421526325060254e-05
-9.979979979979979987e+00,6.819577131519641049e-29,3.471739576233202426e-24,2.064611782016170149e-28,3.556540413861600090e-05
-9.959959959959959974e+00,9.210964518060352894e-29,3.958560413050103383e-24,2.694088517448354655e-28,3.624853594433905484e-05
-9.939939939939939961e+00,1.248438456980867463e-28,4.520625550514333886e-24,3.528113260173695361e-28,3.696643730541373488e-05
-9.919919919919919948e+00,1.698255342475826866e-28,5.170762202290127495e-24,4.637591788403559270e-28,3.772229578665708521e-05
-9.899899899899899935e+00,2.318871679839669949e-28,5.924215342784296601e-24,6.119680011816178958e-28,3.851971970247165204e-05
-9.879879879879879923e+00,3.178758318895518967e-28,6.799153810374539764e-24,8.108176915223095214e-28,3.936281011546942463e-05
-9.859859859859859910e+00,4.375425782388710015e-28,7.817294815269498932e-24,1.078832507912775557e-27,4.025624798524534391e-05
-9.839839839839839897e+00,6.048484829263478766e-28,9.004678055401942655e-24,1.441802470029709643e-27,4.120540026905923327e-05
-9.819819819819819884e+00,8.398952382026061903e-28,1.039262998308011886e-23,1.935844873067736125e-27,4.221644989138884253e-05
-9.799799799799799871e+00,1.171798735042262083e-27,1.201897130151135730e-23,2.611854625478489515e-27,4.329655599159137631e-05
-9.779779779779779858e+00,1.642997793245494906e-27,1.392953776063719064e-23,3.542023361277389742e-27,4.445405287370293886e-05
-9.759759759759759845e+00,2.315765609426328067e-27,1.618010759047186294e-23,4.829467526062607263e-27,4.569869882865003303e-05
-9.739739739739739832e+00,3.282132769806033654e-27,1.883886114300824852e-23,6.622573036793217097e-27,4.704198978045879133e-05
-9.719719719719719819e+00,4.679145740665576165e-27,2.198954352417622950e-23,9.136568351164395982e-27,4.849755797103406826e-05
-9.699699699699699806e+00,6.712557708991869786e-27,2.573556528151832897e-23,1.268629720163523825e-26,5.008168330831818906e-05
-9.679679679679679793e+00,9.693998357985662688e-27,3.020536899603171293e-23,1.773655028962214431e-26,5.181395556599190718e-05
-9.659659659659659781e+00,1.409995707254441231e-26,3.555952576097281804e-23,2.498028154372535352e-26,5.371814088237487450e-05
-9.639639639639639768e+00,2.066654679486130758e-26,4.200022891664776339e-23,3.546173045906201727e-26,5.582332836738462470e-05
-9.619619619619619755e+00,3.054383421634924393e-26,4.978416239059341084e-23,5.077297997274175689e-26,5.816546590528557986e-05
-9.599599599599599742e+00,4.555096743860954106e-26,5.924020395736348440e-23,7.337265113098585906e-26,6.078944460583950724e-05
-9.579579579579579729e+00,6.860499538988918238e-26,7.079419481151808792e-23,1.071115750895725944e-25,6.375196898413027261e-05
-9.559559559559559716e+00,1.044551230194550265e-25,8.500427178509628840e-23,1.581166258883649036e-25,6.712557200825339070e-05
-9.539539539539539703e+00,1.609664883480100782e-25,1.026123974660743259e-22,2.363090631666129871e-25,7.100433032358986491e-05
-9.519519519519519690e+00,2.514185995928501661e-25,1.246214652941350103e-22,3.580772936962716166e-25,7.551215794571109385e-05
-9.499499499499499677e+00,3.987338457476963845e-25,1.524141587155909303e-22,5.511149086613130258e-25,8.081510291909364872e-05
-9.479479479479479664e+00,6.435060388941377727e-25,1.879426604346631558e-22,8.634654361322152468e-25,8.714002314136726332e-05
