energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,1.386834273550665795e-28,1.689021585192232549e-23,7.205983703360919782e-29,3.608093373581420669e-05
-9.979979979979979987e+00,1.877519120731374625e-28,1.885158222076176241e-23,9.643828193916372713e-29,3.681403287338966263e-05
-9.959959959959959974e+00,2.550747356377506575e-28,2.106520574238600066e-23,1.295371973816847591e-28,3.758746414859457020e-05
-9.939939939939939961e+00,3.478016289665002614e-28,2.356692742444708719e-23,1.746577774314978092e-28,3.840520562210158274e-05
-9.919919919919919948e+00,4.760350533913169364e-28,2.639820923848827872e-23,2.364251279298254846e-28,3.927179645152057010e-05
-9.899899899899899935e+00,6.541181510143522053e-28,2.960710839556560238e-23,3.213514510800384548e-28,4.019243914997024445e-05
-9.879879879879879923e+00,9.025171658493899046e-28,3.324943897314670359e-23,4.386537273432241016e-28,4.117312473993243397e-05
-9.859859859859859910e+00,1.250589286332226555e-27,3.739016114078110780e-23,6.014482674440087395e-28,4.222078691772031571e-05
-9.839839839839839897e+00,1.740678199537137632e-27,4.210504798999536109e-23,8.285072373808868666e-28,4.334349325537375575e-05
-9.819819819819819884e+00,2.434214856547374703e-27,4.748269243608418482e-23,1.146859342421968060e-27,4.455068406805910724e-05
-9.799799799799799871e+00,3.420869676845866242e-27,5.362693269368755654e-23,1.595668436002366696e-27,4.585347315059844323e-05
-9.779779779779779858e+00,4.832385803123621711e-27,6.065979562742399946e-23,2.232062718772736496e-27,4.726502955421122635e-05
-9.759759759759759845e+00,6.863655129934770431e-27,6.872508450490635849e-23,3.139967500943316082e-27,4.880106655488499845e-05
-9.739739739739739832e+00,9.805103882327729243e-27,7.799277367817060155e-23,4.443606438290842607e-27,5.048047389416819461e-05
-9.719719719719719819e+00,1.409291231384113098e-26,8.866442085393085722e-23,6.328332177785178625e-27,5.232614368396269750e-05
-9.699699699699699806e+00,2.038765596308848575e-26,1.009798727846469221e-22,9.073088733960070654e-27,5.436606128582380850e-05
-9.679679679679679793e+00,2.969876124147621544e-26,1.152256296955294993e-22,1.310154925239320134e-26,5.663476352388784572e-05
-9.659659659659659781e+00,4.358373165333715497e-26,1.317453585685920143e-22,1.906361819423069788e-26,5.917531344240929751e-05
-9.639639639639639768e+00,6.447105925140251952e-26,1.509532225650638951e-22,2.796698448262905904e-26,6.204201280079776166e-05
-9.619619619619619755e+00,9.619077909688150120e-26,1.733509503511571626e-22,4.139242146433512985e-26,6.530418628359781056e-05
-9.599599599599599742e+00,1.448593275659480315e-25,1.995499487157013856e-22,6.185154254851113663e-26,6.905155196649612344e-05
-9.579579579579579729e+00,2.203799343388527350e-25,2.303003378423234095e-22,9.339133430309066414e-26,7.340198859751905717e-05
-9.559559559559559716e+00,3.390340585064294207e-25,2.665296870609521021e-22,1.426349468240889418e-25,7.851300847556511053e-05
