energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-1.000000000000000000e+01,5.289898204162244977e-33,0.000000000000000000e+00,0.000000000000000000e+00,2.731058988772914898e-05
-9.979979979979979987e+00,6.715906934413064087e-33,0.000000000000000000e+00,0.000000000000000000e+00,2.759532976263647078e-05
-9.959959959959959974e+00,8.538356142454372794e-33,0.000000000000000000e+00,0.000000000000000000e+00,2.788558720251676912e-05
-9.939939939939939961e+00,1.087089365588035093e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.818152536264915649e-05
-9.919919919919919948e+00,1.386075820494142810e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.848331397359146137e-05
-9.899899899899899935e+00,1.769901501751919850e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.879112967847242735e-05
-9.879879879879879923e+00,2.263400649682896879e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.910515639135883399e-05
-9.859859859859859910e+00,2.898905890511813352e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.942558567825393528e-05
-9.839839839839839897e+00,3.718583331725617167e-32,0.000000000000000000e+00,0.000000000000000000e+00,2.975261716241651126e-05
-9.819819819819819884e+00,4.777517589386944688e-32,0.000000000000000000e+00,0.000000000000000000e+00,3.008645895583544991e-05
-9.799799799799799871e+00,6.147795108231905086e-32,0.000000000000000000e+00,0.000000000000000000e+00,3.042732811885522860e-05
-9.779779779779779858e+00,7.923918946916976253e-32,0.000000000000000000e+00,0.000000000000000000e+00,3.077545115012340633e-05
-9.759759759759759845e+00,1.023000287347726686e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.113106450922517511e-05
-9.739739739739739832e+00,1.322934798945352652e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.149441517458320986e-05
-9.719719719719719819e+00,1.713721607117983378e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.186576123943644348e-05
-9.699699699699699806e+00,2.223790090059833611e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.224537254897107033e-05
-9.679679679679679793e+00,2.890759038133288303e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.263353138196421868e-05
-9.659659659659659781e+00,3.764504739715373494e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.303053318061784831e-05
-9.639639639639639768e+00,4.911287054576864837e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.343668733261246642e-05
-9.619619619619619755e+00,6.419310268756375741e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.385231800980033757e-05
-9.599599599599599742e+00,8.406234110400140319e-31,0.000000000000000000e+00,0.000000000000000000e+00,3.427776506838972810e-05
-9.579579579579579729e+00,1.102934153026724591e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.471338501595452051e-05
-9.559559559559559716e+00,1.449933436032514295e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.515955205113740172e-05
-9.539539539539539703e+00,1.909909476859092747e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.561665918251271182e-05
-9.519519519519519690e+00,2.520926039803864228e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.608511943374010349e-05
-9.499499499499499677e+00,3.334317195064315318e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.656536714288476510e-05
-9.479479479479479664e+00,4.419474555444990181e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.705785936461157060e-05
-9.459459459459459651e+00,5.870421475401775569e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.756307738489338057e-05
-9.439439439439439639e+00,7.814864400744866125e-30,0.000000000000000000e+00,0.000000000000000000e+00,3.808152835892041407e-05
-9.419419419419419626e+00,1.042668738636578647e-29,0.000000000000000000e+00,0.000000000000000000e+00,3.861374708407237837e-05
