Energy,Transmission,DOS
-1.000000000000000000e+01,4.023485353587720729e-20,2.351335017419766354e-06
-9.979979979979979987e+00,4.387626228221364634e-20,2.383186979149407077e-06
-9.959959959959959974e+00,4.787278551169152194e-20,2.415909629821270139e-06
-9.939939939939939961e+00,5.226167848035723850e-20,2.449539463051182085e-06
-9.919919919919919948e+00,5.708439522627917575e-20,2.484115010177565730e-06
-9.899899899899899935e+00,6.238709632899181440e-20,2.519676981418278026e-06
-9.879879879879879923e+00,6.822122248635026048e-20,2.556268418679939590e-06
-9.859859859859859910e+00,7.464414304510743268e-20,2.593934861137059240e-06
-9.839839839839839897e+00,8.171988997853559744e-20,2.632724524820555365e-06
-9.819819819819819884e+00,8.951998937691282931e-20,2.672688497592542679e-06
-9.799799799799799871e+00,9.812440434124644622e-20,2.713880951038719155e-06
-9.779779779779779858e+00,1.076226052903862146e-19,2.756359370983590948e-06
-9.759759759759759845e+00,1.181147861577553409e-19,2.800184808529989199e-06
-9.739739739739739832e+00,1.297132478268545622e-19,2.845422153745961270e-06
-9.719719719719719819e+00,1.425439735062239135e-19,2.892140434372777660e-06
-9.699699699699699806e+00,1.567484246601733132e-19,2.940413142211967314e-06
-9.679679679679679793e+00,1.724855906928631141e-19,2.990318590171602389e-06
-9.659659659659659781e+00,1.899343309516407175e-19,3.041940303318536296e-06
-9.639639639639639768e+00,2.092960539158415040e-19,3.095367447700656985e-06
-9.619619619619619755e+00,2.307977858430686471e-19,3.150695301178931439e-06
-9.599599599599599742e+00,2.546956898646317167e-19,3.208025771053020900e-06
-9.579579579579579729e+00,2.812791068055142702e-19,3.267467963886522885e-06
-9.559559559559559716e+00,3.108752011534813334e-19,3.329138813651690315e-06
-9.539539539539539703e+00,3.438543099806432937e-19,3.393163775133684206e-06
-9.519519519519519690e+00,3.806361096688852477e-19,3.459677590478429527e-06
-9.499499499499499677e+00,4.216967355417664151e-19,3.528825137857312132e-06
-9.479479479479479664e+00,4.675770136076643588e-19,3.600762372480902306e-06
-9.459459459459459651e+00,5.188919923615843126e-19,3.675657371652195324e-06
-9.439439439439439639e+00,5.763419969396207386e-19,3.753691497243241732e-06
-9.419419419419419626e+00,6.407254690492687383e-19,3.835060690948876218e-06
