Energy,Transmission,DOS
-1.000000000000000000e+01,1.702558436317427439e-20,2.027914624485447496e-06
-9.979979979979979987e+00,1.848695196390364466e-20,2.049922917949958960e-06
-9.959959959959959974e+00,2.008272658096744128e-20,2.072395082301392960e-06
-9.939939939939939961e+00,2.182612745547671535e-20,2.095346202250589793e-06
-9.919919919919919948e+00,2.373176163503249087e-20,2.118792025298505551e-06
-9.899899899899899935e+00,2.581577924292884691e-20,2.142748998248105597e-06
-9.879879879879879923e+00,2.809604723317082301e-20,2.167234306128363093e-06
-9.859859859859859910e+00,3.059234397018416666e-20,2.192265913716062251e-06
-9.839839839839839897e+00,3.332657728618555653e-20,2.217862609857438505e-06
-9.819819819819819884e+00,3.632302902799322246e-20,2.244044054809634283e-06
-9.799799799799799871e+00,3.960862951533066228e-20,2.270830830841712051e-06
-9.779779779779779858e+00,4.321326580223282594e-20,2.298244496356688031e-06
-9.759759759759759845e+00,4.717012817106916987e-20,2.326307643820009159e-06
-9.739739739739739832e+00,5.151609990552203159e-20,2.355043961806366491e-06
-9.719719719719719819e+00,5.629219609683275273e-20,2.384478301505854593e-06
-9.699699699699699806e+00,6.154405805109596112e-20,2.414636748062850305e-06
-9.679679679679679793e+00,6.732251080094317504e-20,2.445546697156586336e-06
-9.659659659659659781e+00,7.368419230212747654e-20,2.477236937272021904e-06
-9.639639639639639768e+00,8.069226413698964643e-20,2.509737738153444015e-06
-9.619619619619619755e+00,8.841721497918490990e-20,2.543080945981882782e-06
-9.599599599599599742e+00,9.693776972855523845e-20,2.577300085871589776e-06
-9.579579579579579729e+00,1.063419191382200972e-19,2.612430472341006325e-06
-9.559559559559559716e+00,1.167280869707885679e-19,2.648509328480661222e-06
-9.539539539539539703e+00,1.282064542876598074e-19,2.685575914615319718e-06
-9.519519519519519690e+00,1.409004634541474803e-19,2.723671667341130339e-06
-9.499499499499499677e+00,1.549485279039621980e-19,2.762840349911930684e-06
-9.479479479479479664e+00,1.705059777322906953e-19,2.803128215053374370e-06
-9.459459459459459651e+00,1.877472758755273907e-19,2.844584181400691422e-06
-9.439439439439439639e+00,2.068685451039111190e-19,2.887260024887457716e-06
-9.419419419419419626e+00,2.280904524387527660e-19,2.931210586560400871e-06
-9.399399399399399613e+00,2.516615050727312391e-19,2.976493998461768737e-06
-9.379379379379379600e+00,2.778618206147957924e-19,3.023171929408210424e-06
-9.359359359359359587e+00,3.070074447332725937e-19,3.071309852706714618e-06
-9.339339339339339574e+00,3.394553013095497931e-19,3.120977338087468874e-06
-9.319319319319319561e+00,3.756088743724774714e-19,3.172248370404360198e-06
-9.299299299299299548e+00,4.159247377583122114e-19,3.225201697960984465e-06
-9.279279279279279535e+00,4.609200681107597244e-19,3.279921213668973821e-06
-9.259259259259259522e+00,5.111813000747628127e-19,3.336496372642406007e-06
-9.239239239239239510e+00,5.673741100386372882e-19,3.395022650284395018e-06
-9.219219219219219497e+00,6.302549473776407183e-19,3.455602045438543374e-06
-9.199199199199199484e+00,7.006843708586661744e-19,3.518343633768545645e-06
-9.179179179179179471e+00,7.796424939056216908e-19,3.583364177206079554e-06
-9.159159159159159458e+00,8.682468972856121261e-19,3.650788796084145381e-06
-9.139139139139139445e+00,9.677734332679707177e-19,3.720751711466694271e-06
-9.119119119119119432e+00,1.079680423639484459e-18,3.793397066215426437e-06
-9.099099099099099419e+00,1.205636847829457848e-18,3.868879834524164143e-06
-9.079079079079079406e+00,1.347555230115110501e-18,3.947366831028047969e-06
-9.059059059059059393e+00,1.507630070503717872e-18,4.029037832191612301e-06
-9.039039039039039380e+00,1.688382827424309455e-18,4.114086824536149603e-06
-9.019019019019019368e+00,1.892714657983104461e-18,4.202723396429772837e-06
-8.998998998998999355e+00,2.123968360883488422e-18,4.295174292689919663e-06
-8.978978978978979342e+00,2.386001257664338768e-18,4.391685154205914514e-06
-8.958958958958959329e+00,2.683271101468336054e-18,4.492522468261349848e-06
-8.938938938938939316e+00,3.020937533837626959e-18,4.597975759322515958e-06
-8.918918918918919303e+00,3.404982137474246369e-18,4.708360054881418925e-06
-8.898898898898899290e+00,3.842350779633802025e-18,4.824018666649009825e-06
-8.878878878878879277e+00,4.341122735978019773e-18,4.945326334167672636e-06
-8.858858858858859264e+00,4.910712065112629104e-18,5.072692785975339937e-06
-8.838838838838839251e+00,5.562107916357931593e-18,5.206566783082382999e-06
-8.818818818818819238e+00,6.308161956930657585e-18,5.347440721057437780e-06
-8.798798798798799226e+00,7.163932975494809568e-18,5.495855880883807958e-06
-8.778778778778779213e+00,8.147101054175173523e-18,5.652408435471510713e-06
-8.758758758758759200e+00,9.278466625718625986e-18,5.817756338954846928e-06
-8.738738738738739187e+00,1.058255340817152602e-17,5.992627250503131196e-06
-8.718718718718719174e+00,1.208833884596914439e-17,6.177827674376550797e-06
-8.698698698698699161e+00,1.383014155708935126e-17,6.374253534706117483e-06
-8.678678678678679148e+00,1.584870274888266411e-17,6.582902448671776422e-06
-8.658658658658659135e+00,1.819250809135637445e-17,6.804888017582785669e-06
-8.638638638638639122e+00,2.091940874888736537e-17,7.041456524648879429e-06
-8.618618618618619109e+00,2.409861599751293464e-17,7.294006514624625473e-06
-8.598598598598599096e+00,2.781316420174480851e-17,7.564111838777548384e-06
-8.578578578578579084e+00,3.216296338000152891e-17,7.853548885024605933e-06
-8.558558558558559071e+00,3.726859716337181979e-17,8.164328885853314944e-06
-8.538538538538539058e+00,4.327606738708984877e-17,8.498736416756632941e-06
-8.518518518518519045e+00,5.036274660013366202e-17,8.859375480039080651e-06
-8.498498498498499032e+00,5.874487961291669263e-17,9.249224932768478812e-06
-8.478478478478479019e+00,6.868708202233565799e-17,9.671705490215693008e-06
-8.458458458458459006e+00,8.051442753789345603e-17,1.013076115412243519e-05
-8.438438438438438993e+00,9.462791111952542886e-17,1.063095872935570392e-05
-8.418418418418418980e+00,1.115243417108728472e-16,1.117761017372379970e-05
-8.398398398398398967e+00,1.318220858765240195e-16,1.177692397351065868e-05
-8.378378378378378954e+00,1.562945942763527294e-16,1.243619369312342576e-05
-8.358358358358358942e+00,1.859143587666139301e-16,1.316403451437532213e-05
-8.338338338338338929e+00,2.219109611795257949e-16,1.397068225459466723e-05
-8.318318318318318916e+00,2.658483238680397983e-16,1.486837446714903676e-05
-8.298298298298298903e+00,3.197283672655390698e-16,1.587184042990402242e-05
-8.278278278278278890e+00,3.861313451660454874e-16,1.699893709363300951e-05
-8.258258258258258877e+00,4.684076710645138318e-16,1.827148289140276605e-05
-8.238238238238238864e+00,5.709428738656499075e-16,1.971636303520026196e-05
-8.218218218218218851e+00,6.995277294278327403e-16,2.136701224669969442e-05
-8.198198198198198838e+00,8.618817465592324847e-16,2.326542975936976557e-05
-8.178178178178178825e+00,1.068403636640664926e-15,2.546495673586392575e-05
-8.158158158158158813e+00,1.333263333570169972e-15,2.803416456091762320e-05
-8.138138138138138800e+00,1.676017398464741035e-15,3.106239244413260578e-05
-8.118118118118118787e+00,2.124042812549840611e-15,3.466778519892593091e-05
-8.098098098098098774e+00,2.716279604471611603e-15,3.900920973074774154e-05
-8.078078078078078761e+00,3.509120310828432197e-15,4.430434676267373204e-05
-8.058058058058058748e+00,4.585923000817536424e-15,5.085790545287202001e-05
-8.038038038038038735e+00,6.072843092355409019e-15,5.910699233558113820e-05
-8.018018018018018722e+00,8.166105032914657032e-15,6.969667867267500248e-05
-7.997997997997997821e+00,1.118090847678730397e-14,8.361112992853439896e-05
-7.977977977977977808e+00,1.564340438457407994e-14,1.024124089089236431e-04
-7.957957957957957795e+00,2.247384405621240113e-14,1.287012641989915144e-04
-7.937937937937937782e+00,3.337771883779909007e-14,1.670713462582759309e-04
-7.917917917917917769e+00,5.175779936706833604e-14,2.262679685678393158e-04
-7.897897897897897757e+00,8.509728010342616072e-14,3.246637076865737759e-04
-7.877877877877877744e+00,1.522259133875074811e-13,5.064695566029487955e-04
-7.857857857857857731e+00,3.110207447387296796e-13,9.017455205035642069e-04
-7.837837837837837718e+00,8.100509127702617653e-13,2.045160515185841764e-03
-7.817817817817817705e+00,3.841134348120591020e-12,8.439037569097685570e-03
-7.797797797797797692e+00,4.020653993028421502e-09,7.681631099769547610e+00
-7.777777777777777679e+00,4.471157735554682044e-12,7.423551010234473446e-03
-7.757757757757757666e+00,1.330743421805442611e-12,1.918839271806835377e-03
-7.737737737737737653e+00,6.910824905907843319e-13,8.648670326851578150e-04
-7.717717717717717640e+00,4.528220079592321986e-13,4.915282980667069236e-04
-7.697697697697697627e+00,3.376307894714925445e-13,3.176823500359523297e-04
-7.677677677677677615e+00,2.735087384546215498e-13,2.229363693339626591e-04
-7.657657657657657602e+00,2.348368282428995649e-13,1.657146690779075725e-04
-7.637637637637637589e+00,2.105778413612710831e-13,1.285623072252411851e-04
-7.617617617617617576e+00,1.953369362045471394e-13,1.031108373315196256e-04
-7.597597597597597563e+00,1.862426206802941364e-13,8.494118472785914739e-05
-7.577577577577577550e+00,1.816833605208399881e-13,7.154136939980584051e-05
-7.557557557557557537e+00,1.807373101322553832e-13,6.139804409698380644e-05
-7.537537537537537524e+00,1.828939097065132052e-13,5.355561116850408881e-05
-7.517517517517517511e+00,1.879109280598376251e-13,4.738681844450417564e-05
-7.497497497497497498e+00,1.957400582215749069e-13,4.246637994780860380e-05
-7.477477477477477485e+00,2.064904689940416356e-13,3.849795423719558883e-05
-7.457457457457457473e+00,2.204158144160349599e-13,3.527021469320467420e-05
-7.437437437437437460e+00,2.379180240544838710e-13,3.262949278968755093e-05
-7.417417417417417447e+00,2.595654661364289316e-13,3.046222832606581865e-05
-7.397397397397397434e+00,2.861258550426987400e-13,2.868342024602108737e-05
-7.377377377377377421e+00,3.186165918670642572e-13,2.722886092913122608e-05
