Energy,Transmission,DOS
-1.000000000000000000e+01,1.645846697088373318e-21,1.354443855873336131e-06
-9.979979979979979987e+00,1.778078280698707474e-21,1.365893565566435044e-06
-9.959959959959959974e+00,1.921583821959213519e-21,1.377513388529235304e-06
-9.939939939939939961e+00,2.077381695365809786e-21,1.389307042745517433e-06
-9.919919919919919948e+00,2.246587587485171227e-21,1.401278354171212116e-06
-9.899899899899899935e+00,2.430424319642979588e-21,1.413431260650187350e-06
-9.879879879879879923e+00,2.630232716556487807e-21,1.425769816000395309e-06
-9.859859859859859910e+00,2.847483638250229521e-21,1.438298194279035809e-06
-9.839839839839839897e+00,3.083791306445143186e-21,1.451020694235882008e-06
-9.819819819819819884e+00,3.340928072181541757e-21,1.463941743964457536e-06
-9.799799799799799871e+00,3.620840788948602148e-21,1.477065905761322212e-06
-9.779779779779779858e+00,3.925668975302972843e-21,1.490397881204336105e-06
-9.759759759759759845e+00,4.257764973153724986e-21,1.503942516461407196e-06
-9.739739739739739832e+00,4.619716332903433411e-21,1.517704807841949120e-06
-9.719719719719719819e+00,5.014370684835515262e-21,1.531689907603972402e-06
-9.699699699699699806e+00,5.444863387960153744e-21,1.545903130030573248e-06
-9.679679679679679793e+00,5.914648283455997088e-21,1.560349957790379965e-06
-9.659659659659659781e+00,6.427531920435193792e-21,1.575036048597457083e-06
-9.639639639639639768e+00,6.987711667647112862e-21,1.589967242187115286e-06
-9.619619619619619755e+00,7.599818176649872682e-21,1.605149567625116470e-06
-9.599599599599599742e+00,8.268962720750290779e-21,1.620589250968854245e-06
-9.579579579579579729e+00,9.000790000594499260e-21,1.636292723300319847e-06
-9.559559559559559716e+00,9.801537082772183086e-21,1.652266629151866878e-06
-9.539539539539539703e+00,1.067809922343348962e-20,1.668517835347229929e-06
-9.519519519519519690e+00,1.163810342613719619e-20,1.685053440281647828e-06
-9.499499499499499677e+00,1.268999069361079841e-20,1.701880783666564344e-06
-9.479479479479479664e+00,1.384310805869332955e-20,1.719007456766036396e-06
-9.459459459459459651e+00,1.510781162263977961e-20,1.736441313153796674e-06
-9.439439439439439639e+00,1.649558199170086232e-20,1.754190480021910685e-06
-9.419419419419419626e+00,1.801915368834175077e-20,1.772263370073985216e-06
-9.399399399399399613e+00,1.969266032498200155e-20,1.790668694038235709e-06
-9.379379379379379600e+00,2.153179756956404331e-20,1.809415473838096222e-06
-9.359359359359359587e+00,2.355400620805557940e-20,1.828513056460700242e-06
-9.339339339339339574e+00,2.577867792430826324e-20,1.847971128566382357e-06
-9.319319319319319561e+00,2.822738677850084557e-20,1.867799731885438811e-06
-9.299299299299299548e+00,3.092414977858741832e-20,1.888009279451619394e-06
-9.279279279279279535e+00,3.389572041278821172e-20,1.908610572725460902e-06
-9.259259259259259522e+00,3.717191955448321589e-20,1.929614819664370917e-06
-9.239239239239239510e+00,4.078600877473162632e-20,1.951033653800571110e-06
-9.219219219219219497e+00,4.477511181461530986e-20,1.972879154392511438e-06
-9.199199199199199484e+00,4.918069079434046012e-20,1.995163867720259940e-06
