Energy,Transmission,DOS
-1.000000000000000000e+01,2.313421686172490369e-20,2.119724225249468890e-06
-9.979979979979979987e+00,2.516096700792470867e-20,2.144400844884002814e-06
-9.959959959959959974e+00,2.737818772894692899e-20,2.169644838531833106e-06
-9.939939939939939961e+00,2.980504586111288636e-20,2.195476349778856172e-06
-9.919919919919919948e+00,3.246277015904793701e-20,2.221916484713692952e-06
-9.899899899899899935e+00,3.537488808904798370e-20,2.248987369377180180e-06
-9.879879879879879923e+00,3.856749161492027984e-20,2.276712211313714411e-06
-9.859859859859859910e+00,4.206953575646348738e-20,2.305115365565257173e-06
-9.839839839839839897e+00,4.591317422505009216e-20,2.334222405481090457e-06
-9.819819819819819884e+00,5.013413704235596999e-20,2.364060198752217546e-06
-9.799799799799799871e+00,5.477215573922908355e-20,2.394656989118904646e-06
-9.779779779779779858e+00,5.987144252612135093e-20,2.426042484243846064e-06
-9.759759759759759845e+00,6.548123074085697888e-20,2.458247950292190481e-06
-9.739739739739739832e+00,7.165638493306318159e-20,2.491306313813995385e-06
-9.719719719719719819e+00,7.845809015980143247e-20,2.525252271584924494e-06
-9.699699699699699806e+00,8.595463147028050775e-20,2.560122409128414570e-06
-9.679679679679679793e+00,9.422227617987783943e-20,2.595955328717425001e-06
-9.659659659659659781e+00,1.033462734115094932e-19,2.632791787737760168e-06
-9.639639639639639768e+00,1.134219875584292021e-19,2.670674848388658879e-06
-9.619619619619619755e+00,1.245561848472435532e-19,2.709650039801177339e-06
-9.599599599599599742e+00,1.368684951128458904e-19,2.749765533772618701e-06
-9.579579579579579729e+00,1.504930743083771879e-19,2.791072335447229126e-06
-9.559559559559559716e+00,1.655804972464605423e-19,2.833624490421832539e-06
-9.539539539539539703e+00,1.822999147014757113e-19,2.877479309922217064e-06
-9.519519519519519690e+00,2.008415144135706135e-19,2.922697615884371764e-06
-9.499499499499499677e+00,2.214193318627703593e-19,2.969344007987470337e-06
-9.479479479479479664e+00,2.442744640916169026e-19,3.017487154925860483e-06
-9.459459459459459651e+00,2.696787485451506140e-19,3.067200112479679018e-06
-9.439439439439439639e+00,2.979389791041023434e-19,3.118560671252651128e-06
-9.419419419419419626e+00,3.294017434937012314e-19,3.171651737296374502e-06
-9.399399399399399613e+00,3.644589803961883795e-19,3.226561749239859190e-06
-9.379379379379379600e+00,4.035543712873708776e-19,3.283385135998150986e-06
-9.359359359359359587e+00,4.471907017474848233e-19,3.342222819653664889e-06
-9.339339339339339574e+00,4.959383503561492570e-19,3.403182768698342289e-06
-9.319319319319319561e+00,5.504450909860843240e-19,3.466380607506255948e-06
-9.299299299299299548e+00,6.114474272268299923e-19,3.531940288688544659e-06
-9.279279279279279535e+00,6.797837168502728522e-19,3.599994835882786050e-06
-9.259259259259259522e+00,7.564093909532487981e-19,3.670687165566458566e-06
-9.239239239239239510e+00,8.424146282389026652e-19,3.744170997682838376e-06
-9.219219219219219497e+00,9.390449117333550648e-19,3.820611866255161002e-06
-9.199199199199199484e+00,1.047724975411796406e-18,3.900188242774606404e-06
-9.179179179179179471e+00,1.170086744594309419e-18,3.983092787019451495e-06
-9.159159159159159458e+00,1.308001990093987881e-18,4.069533742144047654e-06
-9.139139139139139445e+00,1.463620556312232965e-18,4.159736493424776317e-06
-9.119119119119119432e+00,1.639415193165240141e-18,4.253945313034686413e-06
-9.099099099099099419e+00,1.838234227577128555e-18,4.352425316722632573e-06
-9.079079079079079406e+00,2.063363560607910866e-18,4.455464662398060465e-06
-9.059059059059059393e+00,2.318599781482250678e-18,4.563377025491984045e-06
-9.039039039039039380e+00,2.608336562847153671e-18,4.676504391728803639e-06
-9.019019019019019368e+00,2.937666958841602609e-18,4.795220214786834431e-06
-8.998998998998999355e+00,3.312504789581540701e-18,4.919932994473834617e-06
-8.978978978978979342e+00,3.739728988462621066e-18,5.051090340776965446e-06
-8.958958958958959329e+00,4.227355645267661506e-18,5.189183600810253955e-06
-8.938938938938939316e+00,4.784743540469288584e-18,5.334753139706384496e-06
-8.918918918918919303e+00,5.422840288073455755e-18,5.488394383419856759e-06
-8.898898898898899290e+00,6.154477854820340706e-18,5.650764751897073006e-06
-8.878878878878879277e+00,6.994728291414720583e-18,5.822591635971908682e-06
-8.858858858858859264e+00,7.961333111717087246e-18,6.004681601731240093e-06
-8.838838838838839251e+00,9.075223038008742447e-18,6.197931043322803877e-06
-8.818818818818819238e+00,1.036114898983024427e-17,6.403338550980265762e-06
-8.798798798798799226e+00,1.184845048675932414e-17,6.622019317642312665e-06
-8.778778778778779213e+00,1.357199439988163682e-17,6.855221977811793434e-06
-8.758758758758759200e+00,1.557332567085999288e-17,7.104348359957888049e-06
-8.738738738738739187e+00,1.790208281910246348e-17,7.370976743661986155e-06
-8.718718718718719174e+00,2.061774557812731670e-17,7.656889351214785880e-06
-8.698698698698699161e+00,2.379180092336729171e-17,7.964104978900369517e-06
-8.678678678678679148e+00,2.751043854400074315e-17,8.294917896935109653e-06
-8.658658658658659135e+00,3.187791947870889780e-17,8.651944433938979904e-06
-8.638638638638639122e+00,3.702080494368769288e-17,9.038179032096921203e-06
-8.618618618618619109e+00,4.309329016475192409e-17,9.457062040263562768e-06
-8.598598598598599096e+00,5.028396564354975751e-17,9.912562141780001686e-06
-8.578578578578579084e+00,5.882443329552220988e-17,1.040927714367293825e-05
-8.558558558558559071e+00,6.900034803701823080e-17,1.095255795666366590e-05
-8.538538538538539058e+00,8.116565208948111317e-17,1.154866207304986062e-05
-8.518518518518519045e+00,9.576104185900771798e-17,1.220494484714686744e-05
-8.498498498498499032e+00,1.133380884761437149e-16,1.293009960918574061e-05
-8.478478478478479019e+00,1.345909714341090730e-16,1.373446140171080339e-05
-8.458458458458459006e+00,1.603985529321005009e-16,1.463039436412047691e-05
-8.438438438438438993e+00,1.918806288756457557e-16,1.563279017194965997e-05
-8.418418418418418980e+00,2.304738108787816612e-16,1.675971546981161757e-05
-8.398398398398398967e+00,2.780348873971394516e-16,1.803326146641459507e-05
-8.378378378378378954e+00,3.369831024015137122e-16,1.948067119820850353e-05
-8.358358358358358942e+00,4.104982566351839013e-16,2.113585324286139180e-05
-8.338338338338338929e+00,5.027999976859362962e-16,2.304144106660973058e-05
-8.318318318318318916e+00,6.195469976007244500e-16,2.525163494291757861e-05
-8.298298298298298903e+00,7.684161408283532300e-16,2.783618574150924915e-05
-8.278278278278278890e+00,9.599570218958103151e-16,3.088607671275990545e-05
-8.258258258258258877e+00,1.208876202256740073e-15,3.452178374208246043e-05
-8.238238238238238864e+00,1.536007806207825609e-15,3.890554356591976087e-05
-8.218218218218218851e+00,1.971408675096272646e-15,4.426001696478085753e-05
-8.198198198198198838e+00,2.559350286468916605e-15,5.089746102226484222e-05
-8.178178178178178825e+00,3.366617400695515725e-15,5.926676048751394331e-05
-8.158158158158158813e+00,4.496794985707338577e-15,7.003200081776294076e-05
-8.138138138138138800e+00,6.115890191402386464e-15,8.420929587624699834e-05
-8.118118118118118787e+00,8.500558683361404617e-15,1.034170162739221811e-04
